Month_Year,Avg_players,Gain,Percent_Gain,Peak_Players,URL,Date,Game_Name,churn,Gain_Ratio,Gain_Direction,Volatility
March 2017,17551.14,,,67846,https://steamcharts.com/app/578080,2017-03-01,PUBG: Battlegrounds,0,,0,
September 2021,139647.96,-29880.22,-17.63,273617,https://steamcharts.com/app/1172470,2021-09-01,Apex Legends,1,-0.2139681811320409,0,0.2139681811320409
August 2021,169528.17,38377.1,29.26,330476,https://steamcharts.com/app/1172470,2021-08-01,Apex Legends,0,0.22637594684116508,1,0.22637594684116508
July 2021,131151.07,-5288.83,-3.88,262129,https://steamcharts.com/app/1172470,2021-07-01,Apex Legends,1,-0.04032624362119196,0,0.04032624362119196
June 2021,136439.9,-27798.11,-16.93,266591,https://steamcharts.com/app/1172470,2021-06-01,Apex Legends,1,-0.20373886231227084,0,0.20373886231227084
May 2021,164238.01,39332.88,31.49,330879,https://steamcharts.com/app/1172470,2021-05-01,Apex Legends,0,0.23948707123277976,1,0.23948707123277976
April 2021,124905.13,-1215.93,-0.96,217728,https://steamcharts.com/app/1172470,2021-04-01,Apex Legends,1,-0.009734828345320965,0,0.009734828345320965
March 2021,126121.06,5138.42,4.25,228439,https://steamcharts.com/app/1172470,2021-03-01,Apex Legends,0,0.04074196648838822,1,0.04074196648838822
February 2021,120982.64,49215.9,68.58,196799,https://steamcharts.com/app/1172470,2021-02-01,Apex Legends,0,0.40680133943183916,1,0.40680133943183916
January 2021,71766.74,7296.99,11.32,129928,https://steamcharts.com/app/1172470,2021-01-01,Apex Legends,0,0.10167648690744487,1,0.10167648690744487
December 2020,64469.75,-10487.5,-13.99,112076,https://steamcharts.com/app/1172470,2020-12-01,Apex Legends,1,-0.16267319169067662,0,0.16267319169067662
November 2020,74957.26,,,117193,https://steamcharts.com/app/1172470,2020-11-01,Apex Legends,0,,0,
September 2021,81854.01,6838.04,9.12,100830,https://steamcharts.com/app/440,2021-09-01,Team Fortress 2,0,0.08353946251380966,1,0.08353946251380966
August 2021,75015.97,-10141.52,-11.91,92436,https://steamcharts.com/app/440,2021-08-01,Team Fortress 2,1,-0.13519147989421454,0,0.13519147989421454
July 2021,85157.49,-21065.46,-19.83,134736,https://steamcharts.com/app/440,2021-07-01,Team Fortress 2,1,-0.2473706070951598,0,0.2473706070951598
June 2021,106222.95,16690.73,18.64,150037,https://steamcharts.com/app/440,2021-06-01,Team Fortress 2,0,0.1571292267819713,1,0.1571292267819713
May 2021,89532.22,1345.22,1.53,123327,https://steamcharts.com/app/440,2021-05-01,Team Fortress 2,0,0.015024982067908067,1,0.015024982067908067
April 2021,88187.0,-516.56,-0.58,118950,https://steamcharts.com/app/440,2021-04-01,Team Fortress 2,1,-0.005857552700511413,0,0.005857552700511413
March 2021,88703.56,-12527.35,-12.38,113107,https://steamcharts.com/app/440,2021-03-01,Team Fortress 2,1,-0.14122713902350706,0,0.14122713902350706
February 2021,101230.91,18082.74,21.75,133620,https://steamcharts.com/app/440,2021-02-01,Team Fortress 2,0,0.1786286421805356,1,0.1786286421805356
January 2021,83148.17,724.66,0.88,111102,https://steamcharts.com/app/440,2021-01-01,Team Fortress 2,0,0.008715285014691243,1,0.008715285014691243
December 2020,82423.51,12118.72,17.24,146887,https://steamcharts.com/app/440,2020-12-01,Team Fortress 2,0,0.14702989474726325,1,0.14702989474726325
